country,iso3,year,count,sex,age_group
Australia,AUS,1997,8,M,15-24
Australia,AUS,1998,11,M,15-24
Australia,AUS,1999,13,M,15-24
Australia,AUS,2000,16,M,15-24
Australia,AUS,2001,23,M,15-24
Australia,AUS,2002,15,M,15-24
Australia,AUS,2003,14,M,15-24
Australia,AUS,2004,18,M,15-24
Australia,AUS,2005,32,M,15-24
Australia,AUS,2006,33,M,15-24
Australia,AUS,2007,30,M,15-24
Australia,AUS,2008,46,M,15-24
Australia,AUS,2009,30,M,15-24
Australia,AUS,2010,42,M,15-24
Australia,AUS,2011,38,M,15-24
Australia,AUS,2012,26,M,15-24
Australia,AUS,1997,24,M,25-34
Australia,AUS,1998,22,M,25-34
Australia,AUS,1999,40,M,25-34
Australia,AUS,2000,35,M,25-34
Australia,AUS,2001,20,M,25-34
Australia,AUS,2002,20,M,25-34
Australia,AUS,2003,10,M,25-34
Australia,AUS,2004,16,M,25-34
Australia,AUS,2005,27,M,25-34
Australia,AUS,2006,35,M,25-34
Australia,AUS,2007,33,M,25-34
Australia,AUS,2008,33,M,25-34
Australia,AUS,2009,37,M,25-34
Australia,AUS,2010,33,M,25-34
Australia,AUS,2011,44,M,25-34
Australia,AUS,2012,40,M,25-34
Australia,AUS,1997,18,M,35-44
Australia,AUS,1998,18,M,35-44
Australia,AUS,1999,54,M,35-44
Australia,AUS,2000,25,M,35-44
Australia,AUS,2001,18,M,35-44
Australia,AUS,2002,26,M,35-44
Australia,AUS,2003,2,M,35-44
Australia,AUS,2004,17,M,35-44
Australia,AUS,2005,23,M,35-44
Australia,AUS,2006,23,M,35-44
Australia,AUS,2007,20,M,35-44
Australia,AUS,2008,20,M,35-44
Australia,AUS,2009,16,M,35-44
Australia,AUS,2010,22,M,35-44
Australia,AUS,2011,26,M,35-44
Australia,AUS,2012,17,M,35-44
Australia,AUS,1997,13,M,45-54
Australia,AUS,1998,13,M,45-54
Australia,AUS,1999,52,M,45-54
Australia,AUS,2000,24,M,45-54
Australia,AUS,2001,18,M,45-54
Australia,AUS,2002,19,M,45-54
Australia,AUS,2003,11,M,45-54
Australia,AUS,2004,15,M,45-54
Australia,AUS,2005,11,M,45-54
Australia,AUS,2006,21,M,45-54
Australia,AUS,2007,15,M,45-54
Australia,AUS,2008,27,M,45-54
Australia,AUS,2009,24,M,45-54
Australia,AUS,2010,25,M,45-54
Australia,AUS,2011,19,M,45-54
Australia,AUS,2012,25,M,45-54
Australia,AUS,1997,17,M,55-64
Australia,AUS,1998,15,M,55-64
Australia,AUS,1999,37,M,55-64
Australia,AUS,2000,19,M,55-64
Australia,AUS,2001,13,M,55-64
Australia,AUS,2002,13,M,55-64
Australia,AUS,2003,5,M,55-64
Australia,AUS,2004,11,M,55-64
Australia,AUS,2005,12,M,55-64
Australia,AUS,2006,16,M,55-64
Australia,AUS,2007,14,M,55-64
Australia,AUS,2008,23,M,55-64
Australia,AUS,2009,12,M,55-64
Australia,AUS,2010,9,M,55-64
Australia,AUS,2011,12,M,55-64
Australia,AUS,2012,16,M,55-64
Australia,AUS,1997,28,M,65+
Australia,AUS,1998,31,M,65+
Australia,AUS,1999,49,M,65+
Australia,AUS,2000,49,M,65+
Australia,AUS,2001,35,M,65+
Australia,AUS,2002,34,M,65+
Australia,AUS,2003,30,M,65+
Australia,AUS,2004,32,M,65+
Australia,AUS,2005,30,M,65+
